和风天气中国城市列表 v1.2

城市/地区编码	英文	中文	国家代码	国家英文	国家中文	省英文	省中文	所属上级市英文	所属上级市中文	纬度	经度
CN101010100	beijing	北京	CN	China	中国	beijing	北京	beijing	北京	39.904	116.391
CN101010200	haidian	海淀	CN	China	中国	beijing	北京	beijing	北京	39.59	116.17
CN101010300	chaoyang	朝阳	CN	China	中国	beijing	北京	beijing	北京	39.57	116.29
CN101010400	shunyi	顺义	CN	China	中国	beijing	北京	beijing	北京	40.147	116.716
CN101010500	huairou	怀柔	CN	China	中国	beijing	北京	beijing	北京	40.643	116.581
CN101010600	tongzhou	通州	CN	China	中国	beijing	北京	beijing	北京	39.55	116.38
CN101010700	changping	昌平	CN	China	中国	beijing	北京	beijing	北京	40.206	116.165
CN101010800	yanqing	延庆	CN	China	中国	beijing	北京	beijing	北京	40.525	116.148
CN101010900	fengtai	丰台	CN	China	中国	beijing	北京	beijing	北京	39.859	116.286
CN101011000	shijingshan	石景山	CN	China	中国	beijing	北京	beijing	北京	39.56	116.11
CN101011100	daxing	大兴	CN	China	中国	beijing	北京	beijing	北京	39.639	116.475
CN101011200	fangshan	房山	CN	China	中国	beijing	北京	beijing	北京	37.898	111.308
CN101011300	miyun	密云	CN	China	中国	beijing	北京	beijing	北京	40.509	117.087
CN101011400	mentougou	门头沟	CN	China	中国	beijing	北京	beijing	北京	39.55	116.07
CN101011500	pinggu	平谷	CN	China	中国	beijing	北京	beijing	北京	40.204	117.15
CN101020100	shanghai	上海	CN	China	中国	shanghai	上海	shanghai	上海	31.213	121.445
CN101020200	minhang	闵行	CN	China	中国	shanghai	上海	shanghai	上海	31.07	121.23
CN101020300	baoshan	宝山	CN	China	中国	shanghai	上海	shanghai	上海	31.417	121.483
CN101020500	jiading	嘉定	CN	China	中国	shanghai	上海	shanghai	上海	31.363	121.263
CN101020600	pudongxinqu	浦东新区	CN	China	中国	shanghai	上海	shanghai	上海	31.007	121.712
CN101020700	jinshan	金山	CN	China	中国	shanghai	上海	shanghai	上海	30.824	121.211
CN101020800	qingpu	青浦	CN	China	中国	shanghai	上海	shanghai	上海	31.115	121.087
CN101020900	songjiang	松江	CN	China	中国	shanghai	上海	shanghai	上海	31.029	121.19
CN101021000	fengxian	奉贤	CN	China	中国	shanghai	上海	shanghai	上海	30.908	121.551
CN101021100	chongming	崇明	CN	China	中国	shanghai	上海	shanghai	上海	31.658	121.526
CN101021200	xuhui	徐汇	CN	China	中国	shanghai	上海	shanghai	上海	31.213	121.445
CN101030100	tianjin	天津	CN	China	中国	tianjin	天津	tianjin	天津	39.117	117.246
CN101030200	wuqing	武清	CN	China	中国	tianjin	天津	tianjin	天津	39.423	117.065
CN101030300	baodi	宝坻	CN	China	中国	tianjin	天津	tianjin	天津	39.595	117.418
CN101030400	dongli	东丽	CN	China	中国	tianjin	天津	tianjin	天津	39.04	117.25
CN101030500	xiqing	西青	CN	China	中国	tianjin	天津	tianjin	天津	39.05	117.04
CN101030600	beichen	北辰	CN	China	中国	tianjin	天津	tianjin	天津	39.13	117.07
CN101030700	ninghe	宁河	CN	China	中国	tianjin	天津	tianjin	天津	39.386	117.668
CN101030900	jinghai	静海	CN	China	中国	tianjin	天津	tianjin	天津	38.829	116.983
CN101031000	jinnan	津南	CN	China	中国	tianjin	天津	tianjin	天津	38.59	117.22
CN101031100	binhaixinqu	滨海新区	CN	China	中国	tianjin	天津	tianjin	天津	39	117.43
CN101031400	jixian	蓟县	CN	China	中国	tianjin	天津	tianjin	天津	40.046	117.408
CN101040100	chongqing	重庆	CN	China	中国	chongqing	重庆	chongqing	重庆	29.581	106.549
CN101040200	yongchuan	永川	CN	China	中国	chongqing	重庆	chongqing	重庆	29.251	105.853
CN101040300	hechuan	合川	CN	China	中国	chongqing	重庆	chongqing	重庆	30.114	106.318
CN101040400	nanchuan	南川	CN	China	中国	chongqing	重庆	chongqing	重庆	29.137	107.161
CN101040500	jiangjin	江津	CN	China	中国	chongqing	重庆	chongqing	重庆	28.998	106.205
CN101040600	wansheng	万盛	CN	China	中国	chongqing	重庆	chongqing	重庆	28.57	106.56
CN101040700	yubei	渝北	CN	China	中国	chongqing	重庆	chongqing	重庆	29.43	106.38
CN101040800	beibei	北碚	CN	China	中国	chongqing	重庆	chongqing	重庆	29.51	106.27
CN101040900	banan	巴南	CN	China	中国	chongqing	重庆	chongqing	重庆	29.23	106.31
CN101041000	changshou	长寿	CN	China	中国	chongqing	重庆	chongqing	重庆	29.972	107.148
CN101041100	qianjiang	黔江	CN	China	中国	chongqing	重庆	chongqing	重庆	30.36	112.765
CN101041300	wanzhou	万州	CN	China	中国	chongqing	重庆	chongqing	重庆	30.46	108.24
CN101041400	fuling	涪陵	CN	China	中国	chongqing	重庆	chongqing	重庆	29.686	107.325
CN101041500	kaixian	开县	CN	China	中国	chongqing	重庆	chongqing	重庆	31.12	108.26
CN101041600	chengkou	城口	CN	China	中国	chongqing	重庆	chongqing	重庆	31.919	108.77
CN101041700	yunyang	云阳	CN	China	中国	chongqing	重庆	chongqing	重庆	31.009	108.827
CN101041800	wuxi	巫溪	CN	China	中国	chongqing	重庆	chongqing	重庆	31.24	109.37
CN101041900	fengjie	奉节	CN	China	中国	chongqing	重庆	chongqing	重庆	30.936	109.387
CN101042000	wushan	巫山	CN	China	中国	chongqing	重庆	chongqing	重庆	31.123	109.874
CN101042100	tongnan	潼南	CN	China	中国	chongqing	重庆	chongqing	重庆	30.112	105.772
CN101042200	dianjiang	垫江	CN	China	中国	chongqing	重庆	chongqing	重庆	30.249	107.444
CN101042300	liangping	梁平	CN	China	中国	chongqing	重庆	chongqing	重庆	30.659	107.736
CN101042400	zhongxian	忠县	CN	China	中国	chongqing	重庆	chongqing	重庆	30.18	108.02
CN101042500	shizhu	石柱	CN	China	中国	chongqing	重庆	chongqing	重庆	30	108.07
CN101042600	dazu	大足	CN	China	中国	chongqing	重庆	chongqing	重庆	29.62	105.749
CN101042700	rongchang	荣昌	CN	China	中国	chongqing	重庆	chongqing	重庆	29.469	105.51
CN101042800	tongliang	铜梁	CN	China	中国	chongqing	重庆	chongqing	重庆	29.809	106.027
CN101042900	bishan	璧山	CN	China	中国	chongqing	重庆	chongqing	重庆	29.585	106.196
CN101043000	fengdu	丰都	CN	China	中国	chongqing	重庆	chongqing	重庆	29.912	107.834
CN101043100	wulong	武隆	CN	China	中国	chongqing	重庆	chongqing	重庆	29.354	107.656
CN101043200	pengshui	彭水	CN	China	中国	chongqing	重庆	chongqing	重庆	29.18	108.1
